2025-07-12 03:36:03,307 - INFO - >> Received scrape/start request
2025-07-12 03:36:03,310 - INFO - >> Scraper scheduled
2025-07-12 03:36:03,320 - INFO -  run_scraper() called
2025-07-12 03:36:03,322 - INFO -  Starting Telegram Scraper
2025-07-12 03:36:03,327 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2025-07-12 03:36:03,571 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2025-07-12 03:36:04,801 - INFO -  Scraping lobelia4cosmetics...
2025-07-12 03:36:05,343 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:06,750 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:08,388 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:09,813 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:11,456 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:12,888 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:14,278 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:15,949 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:17,992 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:19,966 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:21,586 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:23,015 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:24,451 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:26,308 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:27,831 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:29,264 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:30,695 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:32,133 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:33,774 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:35,313 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:37,168 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:38,581 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:40,409 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:42,286 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:44,028 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:45,862 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:47,500 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:49,342 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:50,774 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:52,692 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:54,364 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-12 03:36:55,582 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
